DATE,HOUR,STATION,SO2,NOX,NO2,CO,O3,FSP
4/2/2024,24,CAUSEWAY BAY,3,94,45,46,47,21
5/2/2024,1,CAUSEWAY BAY,2,38,29,41,55,21
5/2/2024,2,CAUSEWAY BAY,2,46,32,41,48,12
5/2/2024,3,CAUSEWAY BAY,2,39,24,44,53,21
5/2/2024,4,CAUSEWAY BAY,2,63,28,50,47,19
5/2/2024,5,CAUSEWAY BAY,2,35,22,42,50,18
5/2/2024,6,CAUSEWAY BAY,2,46,25,41,47,21
5/2/2024,7,CAUSEWAY BAY,3,132,51,52,22,17
5/2/2024,8,CAUSEWAY BAY,6,348,72,69,8,22
5/2/2024,9,CAUSEWAY BAY,5,241,67,75,9,28
5/2/2024,10,CAUSEWAY BAY,5,206,65,69,11,23
5/2/2024,11,CAUSEWAY BAY,4,N.A.,N.A.,68,11,27
5/2/2024,12,CAUSEWAY BAY,5,N.A.,N.A.,71,11,26
5/2/2024,13,CAUSEWAY BAY,6,N.A.,N.A.,78,11,27
5/2/2024,14,CAUSEWAY BAY,4,N.A.,N.A.,56,26,25
5/2/2024,15,CAUSEWAY BAY,4,N.A.,N.A.,61,22,24
5/2/2024,16,CAUSEWAY BAY,5,233,81,N.A.,17,22
5/2/2024,17,CAUSEWAY BAY,6,319,99,81,16,22
5/2/2024,18,CAUSEWAY BAY,4,146,68,63,41,33
5/2/2024,19,CAUSEWAY BAY,3,114,65,59,53,39
5/2/2024,20,CAUSEWAY BAY,3,122,64,58,49,38
5/2/2024,21,CAUSEWAY BAY,4,106,60,63,49,33
5/2/2024,22,CAUSEWAY BAY,4,161,72,62,35,23
5/2/2024,23,CAUSEWAY BAY,4,137,67,52,40,22
5/2/2024,24,CAUSEWAY BAY,3,89,52,46,N.A.,18
6/2/2024,1,CAUSEWAY BAY,3,88,51,48,54,13
6/2/2024,2,CAUSEWAY BAY,2,N.A.,N.A.,44,59,15
6/2/2024,3,CAUSEWAY BAY,2,28,21,38,65,8
6/2/2024,4,CAUSEWAY BAY,2,15,12,36,63,14
6/2/2024,5,CAUSEWAY BAY,N.A.,N.A.,N.A.,N.A.,62,10
6/2/2024,6,CAUSEWAY BAY,2,23,18,42,59,15
6/2/2024,7,CAUSEWAY BAY,2,60,33,50,51,18
6/2/2024,8,CAUSEWAY BAY,4,154,60,64,29,14
6/2/2024,9,CAUSEWAY BAY,3,93,44,52,39,13
6/2/2024,10,CAUSEWAY BAY,3,118,57,55,27,23
6/2/2024,11,CAUSEWAY BAY,3,117,52,60,37,21
6/2/2024,12,CAUSEWAY BAY,3,108,54,57,43,21
6/2/2024,13,CAUSEWAY BAY,5,285,88,75,20,20
6/2/2024,14,CAUSEWAY BAY,6,316,101,81,17,25
6/2/2024,15,CAUSEWAY BAY,5,268,89,72,27,28
6/2/2024,16,CAUSEWAY BAY,6,331,116,93,18,26
6/2/2024,17,CAUSEWAY BAY,5,307,103,82,21,23
6/2/2024,18,CAUSEWAY BAY,4,166,73,69,38,24
6/2/2024,19,CAUSEWAY BAY,4,237,86,70,23,22
6/2/2024,20,CAUSEWAY BAY,4,177,73,73,30,30
6/2/2024,21,CAUSEWAY BAY,3,94,51,65,43,22
6/2/2024,22,CAUSEWAY BAY,3,101,52,61,41,19
6/2/2024,23,CAUSEWAY BAY,4,238,75,83,20,24
6/2/2024,24,CAUSEWAY BAY,6,288,84,105,12,16
7/2/2024,1,CAUSEWAY BAY,3,135,64,72,28,6
7/2/2024,2,CAUSEWAY BAY,2,60,37,73,50,5
7/2/2024,3,CAUSEWAY BAY,2,74,38,96,52,6
7/2/2024,4,CAUSEWAY BAY,2,34,26,52,63,10
7/2/2024,5,CAUSEWAY BAY,2,40,27,43,64,12
7/2/2024,6,CAUSEWAY BAY,2,43,26,41,64,17
7/2/2024,7,CAUSEWAY BAY,2,46,32,50,55,23
7/2/2024,8,CAUSEWAY BAY,4,167,61,62,30,33
7/2/2024,9,CAUSEWAY BAY,4,208,79,60,23,32
7/2/2024,10,CAUSEWAY BAY,5,261,85,87,16,26
7/2/2024,11,CAUSEWAY BAY,6,300,86,86,12,29
7/2/2024,12,CAUSEWAY BAY,6,260,77,77,15,28
7/2/2024,13,CAUSEWAY BAY,6,283,81,86,15,19
7/2/2024,14,CAUSEWAY BAY,9,418,57,111,7,16
7/2/2024,15,CAUSEWAY BAY,7,283,49,104,7,14
7/2/2024,16,CAUSEWAY BAY,7,349,53,114,7,14
7/2/2024,17,CAUSEWAY BAY,10,508,56,126,8,12
7/2/2024,18,CAUSEWAY BAY,10,484,59,111,7,17
7/2/2024,19,CAUSEWAY BAY,11,528,65,112,8,18
7/2/2024,20,CAUSEWAY BAY,12,645,63,139,9,23
7/2/2024,21,CAUSEWAY BAY,11,470,64,136,8,32
7/2/2024,22,CAUSEWAY BAY,8,380,63,116,7,22
7/2/2024,23,CAUSEWAY BAY,9,427,59,120,7,17
7/2/2024,24,CAUSEWAY BAY,6,268,46,109,6,9
8/2/2024,1,CAUSEWAY BAY,5,170,40,91,7,4
8/2/2024,2,CAUSEWAY BAY,4,124,36,97,9,5
8/2/2024,3,CAUSEWAY BAY,3,78,32,85,11,3
8/2/2024,4,CAUSEWAY BAY,3,68,27,82,13,4
8/2/2024,5,CAUSEWAY BAY,N.A.,N.A.,N.A.,N.A.,15,4
8/2/2024,6,CAUSEWAY BAY,3,67,31,71,13,4
8/2/2024,7,CAUSEWAY BAY,4,134,36,79,10,5
8/2/2024,8,CAUSEWAY BAY,5,184,41,86,7,8
8/2/2024,9,CAUSEWAY BAY,7,318,52,104,7,10
8/2/2024,10,CAUSEWAY BAY,8,362,53,113,7,11
8/2/2024,11,CAUSEWAY BAY,8,413,61,117,8,9
8/2/2024,12,CAUSEWAY BAY,9,469,63,116,9,11
8/2/2024,13,CAUSEWAY BAY,10,458,67,115,9,18
8/2/2024,14,CAUSEWAY BAY,8,351,62,102,9,21
8/2/2024,15,CAUSEWAY BAY,8,405,59,107,9,18
8/2/2024,16,CAUSEWAY BAY,9,399,61,126,9,19
8/2/2024,17,CAUSEWAY BAY,7,305,55,109,9,20
8/2/2024,18,CAUSEWAY BAY,7,323,54,102,9,16
8/2/2024,19,CAUSEWAY BAY,7,327,56,104,10,13
8/2/2024,20,CAUSEWAY BAY,8,386,61,119,10,19
8/2/2024,21,CAUSEWAY BAY,8,331,57,118,9,22
8/2/2024,22,CAUSEWAY BAY,8,348,61,101,9,21
8/2/2024,23,CAUSEWAY BAY,5,152,45,88,12,20
8/2/2024,24,CAUSEWAY BAY,4,112,39,86,13,14
9/2/2024,1,CAUSEWAY BAY,3,82,34,83,15,14
9/2/2024,2,CAUSEWAY BAY,3,52,27,75,21,7
9/2/2024,3,CAUSEWAY BAY,3,57,28,76,21,7
9/2/2024,4,CAUSEWAY BAY,2,44,25,69,25,4
9/2/2024,5,CAUSEWAY BAY,3,64,30,77,23,2
9/2/2024,6,CAUSEWAY BAY,3,56,27,71,23,3
9/2/2024,7,CAUSEWAY BAY,4,158,43,75,13,7
9/2/2024,8,CAUSEWAY BAY,4,174,46,84,13,8
9/2/2024,9,CAUSEWAY BAY,6,249,53,97,9,9
9/2/2024,10,CAUSEWAY BAY,6,270,59,99,9,10
9/2/2024,11,CAUSEWAY BAY,8,309,60,103,8,12
9/2/2024,12,CAUSEWAY BAY,7,330,62,101,9,13
9/2/2024,13,CAUSEWAY BAY,8,372,70,104,10,13
9/2/2024,14,CAUSEWAY BAY,9,448,73,117,10,17
9/2/2024,15,CAUSEWAY BAY,10,481,75,114,9,21
9/2/2024,16,CAUSEWAY BAY,10,473,81,112,9,22
9/2/2024,17,CAUSEWAY BAY,7,318,63,103,12,16
9/2/2024,18,CAUSEWAY BAY,8,373,62,96,12,21
9/2/2024,19,CAUSEWAY BAY,9,336,61,103,14,27
9/2/2024,20,CAUSEWAY BAY,7,274,63,107,12,32
9/2/2024,21,CAUSEWAY BAY,8,352,64,105,11,35
9/2/2024,22,CAUSEWAY BAY,8,303,63,96,10,30
9/2/2024,23,CAUSEWAY BAY,8,394,76,82,9,29
9/2/2024,24,CAUSEWAY BAY,7,213,50,73,18,N.A.
10/2/2024,1,CAUSEWAY BAY,5,167,50,83,17,28
10/2/2024,2,CAUSEWAY BAY,4,136,48,84,18,32
10/2/2024,3,CAUSEWAY BAY,4,89,40,87,23,32
10/2/2024,4,CAUSEWAY BAY,3,47,30,64,29,26
10/2/2024,5,CAUSEWAY BAY,N.A.,N.A.,N.A.,N.A.,37,28
10/2/2024,6,CAUSEWAY BAY,4,49,29,58,34,26
10/2/2024,7,CAUSEWAY BAY,3,58,30,57,37,29
10/2/2024,8,CAUSEWAY BAY,5,146,50,65,23,30
10/2/2024,9,CAUSEWAY BAY,5,156,56,69,21,42
10/2/2024,10,CAUSEWAY BAY,6,235,70,86,14,39
10/2/2024,11,CAUSEWAY BAY,8,311,76,86,12,37
10/2/2024,12,CAUSEWAY BAY,7,290,69,86,16,42
10/2/2024,13,CAUSEWAY BAY,10,427,87,98,10,43
10/2/2024,14,CAUSEWAY BAY,8,329,83,89,15,38
10/2/2024,15,CAUSEWAY BAY,6,206,61,81,29,39
10/2/2024,16,CAUSEWAY BAY,5,207,67,77,33,34
10/2/2024,17,CAUSEWAY BAY,5,197,69,75,26,33
10/2/2024,18,CAUSEWAY BAY,6,233,65,81,28,32
10/2/2024,19,CAUSEWAY BAY,5,185,65,81,27,32
10/2/2024,20,CAUSEWAY BAY,5,236,76,88,13,35
10/2/2024,21,CAUSEWAY BAY,6,260,75,96,9,34
10/2/2024,22,CAUSEWAY BAY,6,288,73,99,8,35
10/2/2024,23,CAUSEWAY BAY,6,285,73,93,7,34
10/2/2024,24,CAUSEWAY BAY,7,324,70,112,6,33
11/2/2024,1,CAUSEWAY BAY,6,258,69,104,7,35
11/2/2024,2,CAUSEWAY BAY,5,171,62,101,10,31
11/2/2024,3,CAUSEWAY BAY,3,114,55,77,17,31
11/2/2024,4,CAUSEWAY BAY,3,100,50,75,20,31
11/2/2024,5,CAUSEWAY BAY,4,114,47,94,18,32
11/2/2024,6,CAUSEWAY BAY,4,152,55,97,14,28
11/2/2024,7,CAUSEWAY BAY,7,344,73,103,8,29
11/2/2024,8,CAUSEWAY BAY,9,398,78,97,7,31
11/2/2024,9,CAUSEWAY BAY,9,413,80,100,8,34
11/2/2024,10,CAUSEWAY BAY,11,536,96,141,9,34
11/2/2024,11,CAUSEWAY BAY,10,437,98,97,12,38
11/2/2024,12,CAUSEWAY BAY,6,248,76,62,24,30
11/2/2024,13,CAUSEWAY BAY,5,213,74,52,37,23
11/2/2024,14,CAUSEWAY BAY,5,186,73,48,40,18
11/2/2024,15,CAUSEWAY BAY,5,178,68,50,44,18
11/2/2024,16,CAUSEWAY BAY,5,164,79,47,39,22
11/2/2024,17,CAUSEWAY BAY,5,183,79,46,44,28
11/2/2024,18,CAUSEWAY BAY,5,184,70,53,42,26
11/2/2024,19,CAUSEWAY BAY,4,103,63,55,60,34
11/2/2024,20,CAUSEWAY BAY,5,230,101,71,26,33
11/2/2024,21,CAUSEWAY BAY,5,172,91,62,28,31
11/2/2024,22,CAUSEWAY BAY,5,222,91,57,27,21
11/2/2024,23,CAUSEWAY BAY,5,229,90,58,27,22
11/2/2024,24,CAUSEWAY BAY,7,277,96,71,23,23
12/2/2024,1,CAUSEWAY BAY,4,171,77,67,33,15
12/2/2024,2,CAUSEWAY BAY,4,102,62,49,44,18
12/2/2024,3,CAUSEWAY BAY,3,95,60,48,49,17
12/2/2024,4,CAUSEWAY BAY,3,62,41,38,65,17
12/2/2024,5,CAUSEWAY BAY,N.A.,N.A.,N.A.,N.A.,72,15
12/2/2024,6,CAUSEWAY BAY,3,56,38,37,75,19
12/2/2024,7,CAUSEWAY BAY,4,101,53,37,54,21
12/2/2024,8,CAUSEWAY BAY,5,154,69,41,44,21
12/2/2024,9,CAUSEWAY BAY,4,101,54,42,54,26
12/2/2024,10,CAUSEWAY BAY,4,151,73,45,43,21
12/2/2024,11,CAUSEWAY BAY,5,158,75,46,46,24
12/2/2024,12,CAUSEWAY BAY,5,189,76,57,52,24
12/2/2024,13,CAUSEWAY BAY,5,191,81,66,52,26
12/2/2024,14,CAUSEWAY BAY,6,205,74,74,64,26
12/2/2024,15,CAUSEWAY BAY,6,211,80,69,56,22
12/2/2024,16,CAUSEWAY BAY,8,345,111,64,29,24
12/2/2024,17,CAUSEWAY BAY,8,318,113,79,34,32
12/2/2024,18,CAUSEWAY BAY,7,279,109,69,31,30
12/2/2024,19,CAUSEWAY BAY,6,148,87,70,59,28
12/2/2024,20,CAUSEWAY BAY,6,174,90,71,44,24
12/2/2024,21,CAUSEWAY BAY,4,161,83,72,40,26
12/2/2024,22,CAUSEWAY BAY,3,122,71,46,58,20
12/2/2024,23,CAUSEWAY BAY,4,130,76,47,50,22
12/2/2024,24,CAUSEWAY BAY,4,108,65,45,N.A.,23
13/2/2024,1,CAUSEWAY BAY,3,57,44,39,77,22
13/2/2024,2,CAUSEWAY BAY,3,43,31,37,83,N.A.
13/2/2024,3,CAUSEWAY BAY,3,31,26,35,92,N.A.
13/2/2024,4,CAUSEWAY BAY,3,46,33,37,88,17
13/2/2024,5,CAUSEWAY BAY,3,30,25,38,98,25
13/2/2024,6,CAUSEWAY BAY,3,26,23,38,97,27
13/2/2024,7,CAUSEWAY BAY,3,62,44,43,77,23
13/2/2024,8,CAUSEWAY BAY,3,68,48,44,69,34
13/2/2024,9,CAUSEWAY BAY,4,103,51,46,64,38
13/2/2024,10,CAUSEWAY BAY,4,188,75,60,43,29
13/2/2024,11,CAUSEWAY BAY,5,212,98,55,38,26
13/2/2024,12,CAUSEWAY BAY,5,186,88,64,44,30
13/2/2024,13,CAUSEWAY BAY,5,167,81,75,55,30
13/2/2024,14,CAUSEWAY BAY,5,144,78,70,53,30
13/2/2024,15,CAUSEWAY BAY,5,158,86,66,52,33
13/2/2024,16,CAUSEWAY BAY,5,114,68,75,78,28
13/2/2024,17,CAUSEWAY BAY,6,268,97,87,27,30
13/2/2024,18,CAUSEWAY BAY,6,233,95,83,39,36
13/2/2024,19,CAUSEWAY BAY,5,174,84,83,62,38
13/2/2024,20,CAUSEWAY BAY,5,123,67,79,64,36
13/2/2024,21,CAUSEWAY BAY,6,312,108,108,32,36
13/2/2024,22,CAUSEWAY BAY,3,51,40,47,85,39
13/2/2024,23,CAUSEWAY BAY,3,100,57,50,70,29
13/2/2024,24,CAUSEWAY BAY,3,114,63,62,64,29
14/2/2024,1,CAUSEWAY BAY,3,102,58,60,61,23
14/2/2024,2,CAUSEWAY BAY,3,52,38,44,73,25
14/2/2024,3,CAUSEWAY BAY,3,23,20,37,93,24
14/2/2024,4,CAUSEWAY BAY,3,76,42,44,66,22
14/2/2024,5,CAUSEWAY BAY,N.A.,N.A.,N.A.,N.A.,60,19
14/2/2024,6,CAUSEWAY BAY,3,89,49,57,54,21
14/2/2024,7,CAUSEWAY BAY,3,104,53,43,55,28
14/2/2024,8,CAUSEWAY BAY,5,302,89,89,17,24
14/2/2024,9,CAUSEWAY BAY,5,226,91,69,24,29
14/2/2024,10,CAUSEWAY BAY,4,172,89,58,34,27
14/2/2024,11,CAUSEWAY BAY,4,152,76,53,46,23
14/2/2024,12,CAUSEWAY BAY,4,194,88,58,34,23
14/2/2024,13,CAUSEWAY BAY,4,160,75,53,42,26
14/2/2024,14,CAUSEWAY BAY,4,130,64,56,54,24
14/2/2024,15,CAUSEWAY BAY,4,128,68,71,45,23
14/2/2024,16,CAUSEWAY BAY,5,177,80,68,34,26
14/2/2024,17,CAUSEWAY BAY,6,198,81,88,36,22
14/2/2024,18,CAUSEWAY BAY,6,152,73,89,45,25
14/2/2024,19,CAUSEWAY BAY,5,110,60,75,56,28
14/2/2024,20,CAUSEWAY BAY,5,113,64,70,56,31
14/2/2024,21,CAUSEWAY BAY,4,112,64,54,51,39
14/2/2024,22,CAUSEWAY BAY,4,157,76,56,38,32
14/2/2024,23,CAUSEWAY BAY,4,175,84,57,33,33
14/2/2024,24,CAUSEWAY BAY,4,181,80,64,20,30
15/2/2024,1,CAUSEWAY BAY,4,151,76,68,37,27
15/2/2024,2,CAUSEWAY BAY,3,104,64,56,36,25
15/2/2024,3,CAUSEWAY BAY,3,101,55,44,30,19
15/2/2024,4,CAUSEWAY BAY,3,105,53,60,28,16
15/2/2024,5,CAUSEWAY BAY,3,73,48,50,31,18
15/2/2024,6,CAUSEWAY BAY,3,100,54,67,23,19
15/2/2024,7,CAUSEWAY BAY,4,237,77,70,9,22
15/2/2024,8,CAUSEWAY BAY,6,299,82,92,8,27
15/2/2024,9,CAUSEWAY BAY,8,417,93,109,7,28
15/2/2024,10,CAUSEWAY BAY,9,440,106,107,10,29
15/2/2024,11,CAUSEWAY BAY,11,578,110,115,8,N.A.
15/2/2024,12,CAUSEWAY BAY,N.A.,440,99,99,9,N.A.
15/2/2024,13,CAUSEWAY BAY,N.A.,488,111,77,11,N.A.
15/2/2024,14,CAUSEWAY BAY,N.A.,405,112,73,12,N.A.
15/2/2024,15,CAUSEWAY BAY,N.A.,456,119,82,10,32
15/2/2024,16,CAUSEWAY BAY,N.A.,343,103,85,13,37
15/2/2024,17,CAUSEWAY BAY,7,336,97,64,20,29
15/2/2024,18,CAUSEWAY BAY,3,99,53,42,47,35
15/2/2024,19,CAUSEWAY BAY,3,201,75,48,27,24
15/2/2024,20,CAUSEWAY BAY,9,527,105,104,22,31
15/2/2024,21,CAUSEWAY BAY,7,364,94,92,8,34
15/2/2024,22,CAUSEWAY BAY,7,381,94,103,8,32
15/2/2024,23,CAUSEWAY BAY,8,432,97,105,7,26
15/2/2024,24,CAUSEWAY BAY,9,446,103,112,6,22
16/2/2024,1,CAUSEWAY BAY,6,319,94,88,6,23
16/2/2024,2,CAUSEWAY BAY,4,196,86,73,7,24
16/2/2024,3,CAUSEWAY BAY,4,207,82,77,7,24
16/2/2024,4,CAUSEWAY BAY,4,159,76,64,7,23
16/2/2024,5,CAUSEWAY BAY,N.A.,N.A.,N.A.,N.A.,6,23
16/2/2024,6,CAUSEWAY BAY,6,177,82,55,6,22
16/2/2024,7,CAUSEWAY BAY,6,254,79,66,6,27
16/2/2024,8,CAUSEWAY BAY,8,426,79,93,6,42
16/2/2024,9,CAUSEWAY BAY,8,313,78,97,9,37
16/2/2024,10,CAUSEWAY BAY,5,223,72,85,19,27
16/2/2024,11,CAUSEWAY BAY,4,199,71,75,22,23
16/2/2024,12,CAUSEWAY BAY,3,134,58,62,28,27
16/2/2024,13,CAUSEWAY BAY,3,224,79,75,26,29
16/2/2024,14,CAUSEWAY BAY,4,204,74,77,28,38
16/2/2024,15,CAUSEWAY BAY,3,157,70,73,37,31
16/2/2024,16,CAUSEWAY BAY,3,93,55,62,49,31
16/2/2024,17,CAUSEWAY BAY,3,166,70,69,40,32
16/2/2024,18,CAUSEWAY BAY,4,140,67,71,44,31
16/2/2024,19,CAUSEWAY BAY,4,212,84,69,36,31
16/2/2024,20,CAUSEWAY BAY,5,223,84,69,29,31
16/2/2024,21,CAUSEWAY BAY,2,78,49,50,54,25
16/2/2024,22,CAUSEWAY BAY,2,89,50,42,54,25
16/2/2024,23,CAUSEWAY BAY,2,77,45,38,56,16
16/2/2024,24,CAUSEWAY BAY,1,42,29,36,65,23
17/2/2024,1,CAUSEWAY BAY,1,51,33,37,62,25
17/2/2024,2,CAUSEWAY BAY,1,36,24,36,70,14
17/2/2024,3,CAUSEWAY BAY,1,31,20,36,77,13
17/2/2024,4,CAUSEWAY BAY,1,15,13,33,79,16
17/2/2024,5,CAUSEWAY BAY,1,14,12,32,82,11
17/2/2024,6,CAUSEWAY BAY,1,30,21,39,73,12
17/2/2024,7,CAUSEWAY BAY,2,97,47,44,50,14
17/2/2024,8,CAUSEWAY BAY,3,150,59,47,41,17
17/2/2024,9,CAUSEWAY BAY,2,91,50,41,51,15
17/2/2024,10,CAUSEWAY BAY,3,180,76,58,29,21
17/2/2024,11,CAUSEWAY BAY,3,159,71,56,35,21
17/2/2024,12,CAUSEWAY BAY,4,221,78,67,31,26
17/2/2024,13,CAUSEWAY BAY,4,206,84,69,32,28
17/2/2024,14,CAUSEWAY BAY,3,164,71,67,45,28
17/2/2024,15,CAUSEWAY BAY,4,237,90,74,31,24
17/2/2024,16,CAUSEWAY BAY,3,114,66,69,54,31
17/2/2024,17,CAUSEWAY BAY,3,119,61,59,52,35
17/2/2024,18,CAUSEWAY BAY,3,113,65,59,51,31
17/2/2024,19,CAUSEWAY BAY,3,117,69,63,55,32
17/2/2024,20,CAUSEWAY BAY,3,96,63,81,54,29
17/2/2024,21,CAUSEWAY BAY,2,88,57,62,49,27
17/2/2024,22,CAUSEWAY BAY,3,136,63,63,40,23
17/2/2024,23,CAUSEWAY BAY,2,106,50,53,48,24
17/2/2024,24,CAUSEWAY BAY,2,43,34,43,62,19
18/2/2024,1,CAUSEWAY BAY,2,119,61,72,37,14
18/2/2024,2,CAUSEWAY BAY,2,117,64,87,28,16
18/2/2024,3,CAUSEWAY BAY,2,82,48,58,41,24
18/2/2024,4,CAUSEWAY BAY,1,48,32,41,56,31
18/2/2024,5,CAUSEWAY BAY,N.A.,N.A.,N.A.,N.A.,50,28
18/2/2024,6,CAUSEWAY BAY,2,39,29,40,54,17
18/2/2024,7,CAUSEWAY BAY,2,102,54,51,31,12
18/2/2024,8,CAUSEWAY BAY,2,130,52,54,32,18
